date;Cate Le Bon;Saturday Night Live;TV comedy;US television;air travel;isPartial
2022-01-01;0;23;40;0;23;False
2022-01-02;10;9;20;5;71;False
2022-01-03;0;0;32;0;64;False
2022-01-04;12;17;31;0;75;False
2022-01-05;0;36;31;0;78;False
2022-01-06;0;0;24;5;63;False
2022-01-07;0;18;23;0;71;False
2022-01-08;0;19;21;7;74;False
2022-01-09;0;5;6;5;61;False
2022-01-10;0;8;18;0;100;False
2022-01-11;5;7;29;0;75;False
2022-01-12;0;0;22;9;82;False
2022-01-13;7;16;17;23;93;False
2022-01-14;6;14;17;0;88;False
2022-01-15;0;21;36;10;72;False
2022-01-16;15;25;22;0;80;False
2022-01-17;0;20;22;0;63;False
2022-01-18;0;0;20;5;70;False
2022-01-19;0;0;24;0;82;False
2022-01-20;0;6;19;0;58;False
2022-01-21;0;16;31;0;51;False
2022-01-22;0;31;26;0;49;False
2022-01-23;0;17;27;7;87;False
2022-01-24;0;13;34;0;94;False
2022-01-25;7;13;20;0;53;False
2022-01-26;0;0;25;0;72;False
2022-01-27;31;0;42;0;65;False
2022-01-28;0;8;20;0;65;False
2022-01-29;0;26;40;6;59;False
2022-01-30;7;22;22;0;81;False
2022-01-31;6;20;21;8;90;False
