date;Phoenix;Cities;Children's TV;Reese Witherspoon;air travel;isPartial
2022-01-01;19;14;1;1;1;False
2022-01-02;19;14;1;1;2;False
2022-01-03;16;14;0;1;2;False
2022-01-04;16;13;0;1;2;False
2022-01-05;15;13;0;1;2;False
2022-01-06;14;11;0;1;2;False
2022-01-07;16;12;0;1;2;False
2022-01-08;17;13;1;1;2;False
2022-01-09;16;15;0;2;2;False
2022-01-10;17;14;0;1;3;False
2022-01-11;16;14;0;1;2;False
2022-01-12;15;15;1;1;2;False
2022-01-13;16;13;0;2;3;False
2022-01-14;16;13;1;1;3;False
2022-01-15;18;15;1;1;2;False
2022-01-16;19;21;1;2;2;False
2022-01-17;18;15;0;1;2;False
2022-01-18;16;14;0;1;2;False
2022-01-19;15;14;0;1;2;False
2022-01-20;16;13;0;1;2;False
2022-01-21;17;13;1;2;1;False
2022-01-22;17;34;1;2;2;False
2022-01-23;16;21;1;1;2;False
2022-01-24;17;21;0;0;3;False
2022-01-25;16;15;0;1;2;False
2022-01-26;14;12;0;0;2;False
2022-01-27;15;13;1;1;2;False
2022-01-28;17;14;0;2;2;False
2022-01-29;17;100;0;1;2;False
2022-01-30;14;28;0;1;2;False
2022-01-31;17;16;0;1;3;False
