date;Digital art;John Lennon;Paul McCartney;Xinjiang;air travel;isPartial
2022-01-01;0;92;100;5;17;False
2022-01-02;8;92;64;4;32;False
2022-01-03;11;53;58;3;26;False
2022-01-04;4;53;53;0;28;False
2022-01-05;17;38;43;0;40;False
2022-01-06;9;57;36;12;31;False
2022-01-07;9;44;34;9;33;False
2022-01-08;14;56;67;3;37;False
2022-01-09;11;63;54;0;28;False
2022-01-10;12;45;48;3;50;False
2022-01-11;6;38;47;4;41;False
2022-01-12;16;45;34;4;35;False
2022-01-13;18;65;41;3;52;False
2022-01-14;13;40;31;0;43;False
2022-01-15;8;52;63;3;34;False
2022-01-16;13;65;47;5;37;False
2022-01-17;15;39;44;4;33;False
2022-01-18;12;42;37;4;30;False
2022-01-19;15;34;44;5;38;False
2022-01-20;11;37;40;0;28;False
2022-01-21;4;56;50;0;20;False
2022-01-22;20;78;60;0;27;False
2022-01-23;22;47;52;6;35;False
2022-01-24;17;43;43;7;50;False
2022-01-25;12;52;39;7;25;False
2022-01-26;12;33;43;0;33;False
2022-01-27;15;33;41;0;37;False
2022-01-28;8;45;43;0;25;False
2022-01-29;0;43;47;2;31;False
2022-01-30;15;59;43;0;37;False
2022-01-31;13;47;47;0;43;False
