date;Unemployment and employment statistics;USA ice hockey team;Canada ice hockey team;Medicare Australia;air travel;isPartial
2022-01-01;0;10;0;4;34;False
2022-01-02;0;0;0;0;63;False
2022-01-03;0;0;0;7;51;False
2022-01-04;0;0;0;6;54;False
2022-01-05;0;0;0;0;77;False
2022-01-06;0;0;8;0;61;False
2022-01-07;0;9;0;9;63;False
2022-01-08;0;6;0;0;71;False
2022-01-09;0;5;0;0;55;False
2022-01-10;0;0;0;0;97;False
2022-01-11;0;0;0;0;79;False
2022-01-12;0;6;0;4;67;False
2022-01-13;0;0;5;0;100;False
2022-01-14;0;0;0;0;84;False
2022-01-15;0;6;7;0;66;False
2022-01-16;0;0;0;0;72;False
2022-01-17;0;7;0;5;65;False
2022-01-18;0;0;0;0;59;False
2022-01-19;0;0;0;0;74;False
2022-01-20;0;0;0;12;54;False
2022-01-21;0;0;0;0;38;False
2022-01-22;0;6;0;7;53;False
2022-01-23;0;5;0;0;69;False
2022-01-24;0;0;0;6;97;False
2022-01-25;0;0;0;0;49;False
2022-01-26;0;0;0;0;64;False
2022-01-27;0;0;0;5;71;False
2022-01-28;0;5;0;8;49;False
2022-01-29;0;0;4;5;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;0;9;5;82;False
