date;Roma, Gypsies and Travellers;St Lucia;Jeremy Heywood;Francis Maude;air travel;isPartial
2022-01-01;0;72;0;0;13;False
2022-01-02;0;91;0;0;24;False
2022-01-03;0;68;0;0;19;False
2022-01-04;0;73;0;0;20;False
2022-01-05;0;75;0;0;29;False
2022-01-06;0;77;2;2;23;False
2022-01-07;0;70;0;0;24;False
2022-01-08;0;74;0;0;27;False
2022-01-09;0;100;0;0;21;False
2022-01-10;0;73;0;0;37;False
2022-01-11;0;72;0;0;30;False
2022-01-12;0;73;0;0;26;False
2022-01-13;0;66;0;0;38;False
2022-01-14;0;65;3;0;32;False
2022-01-15;0;84;2;0;25;False
2022-01-16;0;91;0;0;27;False
2022-01-17;0;82;2;0;25;False
2022-01-18;0;60;0;0;22;False
2022-01-19;0;51;2;3;28;False
2022-01-20;0;60;0;0;20;False
2022-01-21;0;62;0;0;14;False
2022-01-22;0;73;0;0;20;False
2022-01-23;0;98;3;0;26;False
2022-01-24;0;81;2;0;37;False
2022-01-25;0;63;2;2;19;False
2022-01-26;0;52;0;3;24;False
2022-01-27;0;48;0;0;27;False
2022-01-28;0;50;0;2;19;False
2022-01-29;0;57;2;0;23;False
2022-01-30;0;65;0;0;27;False
2022-01-31;0;61;0;5;31;False
