date;Scottish Cup;Algeria football team;Ghana football team;Las Vegas;air travel;isPartial
2022-01-01;2;1;0;38;4;False
2022-01-02;4;1;1;38;7;False
2022-01-03;2;0;0;37;6;False
2022-01-04;2;0;0;28;6;False
2022-01-05;2;0;0;33;8;False
2022-01-06;3;1;1;39;7;False
2022-01-07;4;1;0;33;7;False
2022-01-08;7;0;1;81;8;False
2022-01-09;7;1;1;49;6;False
2022-01-10;4;1;2;49;10;False
2022-01-11;1;2;1;39;8;False
2022-01-12;2;0;0;31;7;False
2022-01-13;2;0;0;36;11;False
2022-01-14;3;0;1;39;9;False
2022-01-15;2;0;1;53;7;False
2022-01-16;4;4;0;46;8;False
2022-01-17;4;1;2;37;7;False
2022-01-18;4;1;3;47;6;False
2022-01-19;5;1;0;45;8;False
2022-01-20;13;2;1;34;6;False
2022-01-21;20;0;0;63;4;False
2022-01-22;100;0;1;55;6;False
2022-01-23;32;1;0;54;7;False
2022-01-24;13;0;0;45;10;False
2022-01-25;5;0;0;33;5;False
2022-01-26;5;0;0;37;7;False
2022-01-27;6;0;0;37;8;False
2022-01-28;4;0;0;33;5;False
2022-01-29;7;0;0;52;6;False
2022-01-30;3;0;0;40;8;False
2022-01-31;3;0;0;31;9;False
