date;Ben Okri;Primark;Associated British Foods;Owen Farrell;air travel;isPartial
2022-01-01;0;100;0;1;2;False
2022-01-02;0;86;0;0;4;False
2022-01-03;0;81;1;0;3;False
2022-01-04;0;52;0;0;3;False
2022-01-05;1;44;0;1;5;False
2022-01-06;0;40;0;0;4;False
2022-01-07;0;54;0;1;4;False
2022-01-08;0;62;1;0;4;False
2022-01-09;0;70;0;1;3;False
2022-01-10;0;46;0;0;6;False
2022-01-11;0;45;1;0;5;False
2022-01-12;0;48;2;1;4;False
2022-01-13;0;46;0;0;6;False
2022-01-14;1;49;0;0;5;False
2022-01-15;0;74;1;1;4;False
2022-01-16;0;73;0;1;4;False
2022-01-17;0;47;0;0;4;False
2022-01-18;0;43;0;1;4;False
2022-01-19;0;45;0;1;4;False
2022-01-20;0;72;1;0;3;False
2022-01-21;0;58;1;0;2;False
2022-01-22;0;78;0;1;3;False
2022-01-23;0;70;0;1;4;False
2022-01-24;0;56;2;1;6;False
2022-01-25;1;46;1;0;3;False
2022-01-26;0;47;0;4;4;False
2022-01-27;0;52;0;0;4;False
2022-01-28;0;54;0;0;3;False
2022-01-29;0;76;0;1;4;False
2022-01-30;0;69;0;1;4;False
2022-01-31;0;53;1;0;5;False
