date;Adoption;Folk dancing;Annual results;Sylvester Stallone;air travel;isPartial
2022-01-01;66;2;0;15;13;False
2022-01-02;77;8;0;26;24;False
2022-01-03;74;0;0;21;20;False
2022-01-04;58;0;0;20;21;False
2022-01-05;58;7;0;16;29;False
2022-01-06;77;0;6;3;23;False
2022-01-07;73;2;3;10;24;False
2022-01-08;83;0;0;21;27;False
2022-01-09;90;0;2;27;21;False
2022-01-10;83;0;4;12;37;False
2022-01-11;86;0;3;19;30;False
2022-01-12;86;0;8;13;26;False
2022-01-13;84;0;3;0;38;False
2022-01-14;65;0;0;5;32;False
2022-01-15;100;2;0;18;25;False
2022-01-16;84;0;15;18;28;False
2022-01-17;78;0;0;12;25;False
2022-01-18;76;0;0;10;23;False
2022-01-19;84;0;0;5;29;False
2022-01-20;73;4;4;13;21;False
2022-01-21;63;6;2;12;15;False
2022-01-22;89;4;2;29;20;False
2022-01-23;80;0;0;16;26;False
2022-01-24;84;0;2;11;37;False
2022-01-25;68;0;2;8;19;False
2022-01-26;80;4;3;10;24;False
2022-01-27;68;3;3;13;27;False
2022-01-28;67;3;2;16;19;False
2022-01-29;78;0;0;11;23;False
2022-01-30;74;2;3;14;27;False
2022-01-31;67;5;3;9;32;False
