date;Bolivia;Global health;Friends of the Earth;Human Rights Act;air travel;isPartial
2022-01-01;21;18;0;9;34;False
2022-01-02;48;15;0;30;63;False
2022-01-03;33;17;0;41;51;False
2022-01-04;45;25;0;36;54;False
2022-01-05;22;35;10;33;77;False
2022-01-06;37;18;0;36;61;False
2022-01-07;31;24;0;25;63;False
2022-01-08;32;20;0;27;71;False
2022-01-09;32;31;0;39;55;False
2022-01-10;45;32;0;65;97;False
2022-01-11;46;33;13;47;79;False
2022-01-12;27;26;15;46;67;False
2022-01-13;29;88;0;60;100;False
2022-01-14;51;36;11;35;84;False
2022-01-15;47;30;0;28;66;False
2022-01-16;35;51;0;35;72;False
2022-01-17;36;41;0;47;65;False
2022-01-18;54;30;0;73;59;False
2022-01-19;33;29;11;27;74;False
2022-01-20;37;28;0;39;54;False
2022-01-21;44;30;8;30;38;False
2022-01-22;44;30;0;10;53;False
2022-01-23;43;38;4;17;69;False
2022-01-24;43;26;8;63;97;False
2022-01-25;31;25;13;39;49;False
2022-01-26;46;33;7;47;64;False
2022-01-27;43;34;20;52;71;False
2022-01-28;86;30;7;39;49;False
2022-01-29;60;32;0;18;60;False
2022-01-30;37;25;0;25;71;False
2022-01-31;42;34;5;57;82;False
