date;Running;Grenfell Tower inquiry;Pokémon Go;Breakfast;air travel;isPartial
2022-01-01;100;1;1;84;1;False
2022-01-02;96;0;1;81;3;False
2022-01-03;92;1;1;77;2;False
2022-01-04;76;0;0;61;2;False
2022-01-05;78;1;1;60;3;False
2022-01-06;74;0;1;56;3;False
2022-01-07;72;0;1;63;3;False
2022-01-08;86;0;1;90;3;False
2022-01-09;92;0;2;87;2;False
2022-01-10;80;0;0;63;4;False
2022-01-11;74;0;0;59;3;False
2022-01-12;75;0;0;58;3;False
2022-01-13;79;1;1;63;4;False
2022-01-14;74;0;0;61;4;False
2022-01-15;88;0;2;96;3;False
2022-01-16;92;0;1;95;3;False
2022-01-17;76;0;1;64;3;False
2022-01-18;72;0;0;60;3;False
2022-01-19;71;0;1;54;3;False
2022-01-20;69;0;1;57;2;False
2022-01-21;66;0;1;63;2;False
2022-01-22;81;0;3;84;2;False
2022-01-23;86;0;1;88;3;False
2022-01-24;84;0;1;82;4;False
2022-01-25;68;0;1;61;2;False
2022-01-26;71;0;1;66;3;False
2022-01-27;63;0;1;61;3;False
2022-01-28;69;0;1;68;2;False
2022-01-29;81;0;1;88;3;False
2022-01-30;80;0;1;87;3;False
2022-01-31;73;0;1;62;4;False
