date;Chicago Bears;Levante;Blues;Selena Gomez;air travel;isPartial
2022-01-01;3;4;76;23;7;False
2022-01-02;9;6;78;18;12;False
2022-01-03;4;12;62;16;10;False
2022-01-04;5;1;62;15;11;False
2022-01-05;5;6;66;11;15;False
2022-01-06;2;5;53;17;12;False
2022-01-07;3;5;65;17;13;False
2022-01-08;5;12;91;13;14;False
2022-01-09;9;6;72;25;11;False
2022-01-10;3;5;61;21;19;False
2022-01-11;4;5;57;13;16;False
2022-01-12;0;5;60;16;13;False
2022-01-13;3;6;55;15;20;False
2022-01-14;0;6;70;14;17;False
2022-01-15;4;5;80;30;13;False
2022-01-16;2;8;75;31;14;False
2022-01-17;6;6;65;22;13;False
2022-01-18;4;6;59;21;12;False
2022-01-19;1;6;54;15;15;False
2022-01-20;4;6;65;17;11;False
2022-01-21;1;5;72;18;8;False
2022-01-22;4;7;91;21;11;False
2022-01-23;4;6;62;24;14;False
2022-01-24;3;6;73;16;19;False
2022-01-25;3;6;62;11;10;False
2022-01-26;4;4;62;16;13;False
2022-01-27;9;6;56;13;14;False
2022-01-28;2;7;65;12;10;False
2022-01-29;7;5;100;16;12;False
2022-01-30;9;4;76;18;14;False
2022-01-31;7;5;60;12;16;False
