date;Munroe Bergdorf;Charlie Kaufman;Philip Seymour Hoffman;Palm oil;air travel;isPartial
2022-01-01;8;0;13;32;34;False
2022-01-02;13;0;19;10;63;False
2022-01-03;0;0;15;36;51;False
2022-01-04;0;0;9;20;54;False
2022-01-05;12;0;7;23;77;False
2022-01-06;0;0;6;25;61;False
2022-01-07;0;7;19;26;63;False
2022-01-08;13;0;22;49;71;False
2022-01-09;11;0;20;57;55;False
2022-01-10;5;0;7;11;97;False
2022-01-11;0;0;8;40;79;False
2022-01-12;8;10;0;32;67;False
2022-01-13;0;9;28;46;100;False
2022-01-14;27;7;10;31;84;False
2022-01-15;9;0;18;31;66;False
2022-01-16;5;10;17;37;72;False
2022-01-17;0;0;12;43;65;False
2022-01-18;0;0;13;29;59;False
2022-01-19;0;0;0;27;74;False
2022-01-20;12;7;10;35;54;False
2022-01-21;0;0;9;48;38;False
2022-01-22;7;8;26;36;53;False
2022-01-23;19;0;9;44;69;False
2022-01-24;0;0;6;38;97;False
2022-01-25;0;15;6;41;49;False
2022-01-26;0;4;16;31;64;False
2022-01-27;0;0;9;37;71;False
2022-01-28;0;8;11;38;49;False
2022-01-29;0;6;14;21;60;False
2022-01-30;8;7;6;42;71;False
2022-01-31;0;0;0;30;82;False
