date;gatwick;greggs;dogs;technology;air travel;isPartial
2022-01-01;9;15;84;5;1;False
2022-01-02;12;10;89;7;1;False
2022-01-03;11;11;80;7;1;False
2022-01-04;12;9;70;12;1;False
2022-01-05;10;8;68;12;1;False
2022-01-06;10;8;70;11;1;False
2022-01-07;9;8;72;11;1;False
2022-01-08;12;8;82;6;1;False
2022-01-09;12;9;87;8;1;False
2022-01-10;11;8;73;13;2;False
2022-01-11;11;7;75;13;1;False
2022-01-12;10;7;71;13;1;False
2022-01-13;10;9;77;14;2;False
2022-01-14;10;8;65;10;1;False
2022-01-15;12;9;90;7;1;False
2022-01-16;13;10;100;7;1;False
2022-01-17;12;7;66;12;1;False
2022-01-18;10;8;71;14;1;False
2022-01-19;9;7;67;13;1;False
2022-01-20;9;8;73;11;1;False
2022-01-21;9;8;71;11;1;False
2022-01-22;10;9;77;6;1;False
2022-01-23;12;8;82;8;1;False
2022-01-24;12;8;75;14;2;False
2022-01-25;10;7;63;13;1;False
2022-01-26;10;7;69;13;1;False
2022-01-27;9;7;67;12;1;False
2022-01-28;11;8;75;11;1;False
2022-01-29;11;9;72;6;1;False
2022-01-30;13;8;76;6;1;False
2022-01-31;13;6;63;11;1;False
