date;no more red - tackling knife crime;zendaya;australian open, 2022;terrorism;air travel;isPartial
2022-01-01;0;61;0;3;4;False
2022-01-02;0;100;0;5;8;False
2022-01-03;0;69;0;4;6;False
2022-01-04;0;54;0;7;7;False
2022-01-05;0;52;0;7;10;False
2022-01-06;0;49;0;14;8;False
2022-01-07;0;49;0;5;8;False
2022-01-08;0;65;0;7;9;False
2022-01-09;0;55;0;7;7;False
2022-01-10;0;58;0;12;12;False
2022-01-11;0;47;0;7;10;False
2022-01-12;0;45;0;9;8;False
2022-01-13;0;42;0;5;12;False
2022-01-14;0;34;0;5;10;False
2022-01-15;0;65;0;7;8;False
2022-01-16;0;85;0;6;9;False
2022-01-17;0;41;0;9;8;False
2022-01-18;0;39;0;7;7;False
2022-01-19;0;31;0;6;9;False
2022-01-20;0;29;0;8;7;False
2022-01-21;0;37;0;8;5;False
2022-01-22;0;58;0;4;7;False
2022-01-23;0;60;0;6;9;False
2022-01-24;0;57;0;11;12;False
2022-01-25;0;50;0;8;6;False
2022-01-26;0;47;0;7;8;False
2022-01-27;0;38;0;8;9;False
2022-01-28;0;41;0;7;6;False
2022-01-29;0;57;0;2;7;False
2022-01-30;0;57;0;4;9;False
2022-01-31;0;50;0;7;10;False
