date;bono;covid pass;inequality;sarah everard;air travel;isPartial
2022-01-01;7;72;3;1;3;False
2022-01-02;8;78;4;1;6;False
2022-01-03;8;71;5;1;5;False
2022-01-04;6;79;5;2;6;False
2022-01-05;6;78;6;1;8;False
2022-01-06;6;69;6;1;6;False
2022-01-07;6;80;6;1;6;False
2022-01-08;9;84;4;0;7;False
2022-01-09;5;76;8;1;6;False
2022-01-10;6;73;7;3;10;False
2022-01-11;6;70;8;1;8;False
2022-01-12;7;67;6;2;7;False
2022-01-13;3;82;9;1;10;False
2022-01-14;5;89;8;2;9;False
2022-01-15;6;100;5;3;7;False
2022-01-16;7;80;9;2;7;False
2022-01-17;6;79;10;2;7;False
2022-01-18;5;65;7;3;6;False
2022-01-19;12;84;7;1;8;False
2022-01-20;7;74;7;2;6;False
2022-01-21;6;86;5;2;4;False
2022-01-22;6;96;4;2;5;False
2022-01-23;5;66;7;2;7;False
2022-01-24;7;89;9;2;10;False
2022-01-25;5;75;10;2;5;False
2022-01-26;5;66;8;1;7;False
2022-01-27;5;79;6;2;7;False
2022-01-28;6;83;7;1;5;False
2022-01-29;8;94;3;3;6;False
2022-01-30;9;72;5;2;7;False
2022-01-31;7;65;6;2;8;False
