date;Sport;Coronavirus;Science;Journalist safety;air travel;isPartial
2022-01-01;75;34;5;0;0;False
2022-01-02;67;32;6;0;0;False
2022-01-03;49;34;6;0;0;False
2022-01-04;43;35;8;0;0;False
2022-01-05;46;28;9;0;1;False
2022-01-06;38;24;9;0;0;False
2022-01-07;53;23;8;0;0;False
2022-01-08;75;21;7;0;0;False
2022-01-09;77;22;8;0;0;False
2022-01-10;50;23;10;0;1;False
2022-01-11;47;22;9;0;1;False
2022-01-12;48;21;9;0;0;False
2022-01-13;55;21;10;0;1;False
2022-01-14;50;17;8;0;1;False
2022-01-15;100;18;7;0;0;False
2022-01-16;74;19;8;0;0;False
2022-01-17;43;19;11;0;0;False
2022-01-18;54;17;10;0;0;False
2022-01-19;53;20;9;0;1;False
2022-01-20;52;16;10;0;0;False
2022-01-21;49;16;9;0;0;False
2022-01-22;86;15;7;0;0;False
2022-01-23;67;16;8;0;0;False
2022-01-24;47;18;11;0;1;False
2022-01-25;40;14;10;0;0;False
2022-01-26;45;15;9;0;0;False
2022-01-27;37;14;8;0;0;False
2022-01-28;44;15;8;0;0;False
2022-01-29;76;14;7;0;0;False
2022-01-30;66;14;7;0;0;False
2022-01-31;54;19;9;0;1;False
