date;Conservation;Environment;Deforestation;Climate crisis;air travel;isPartial
2022-01-01;9;27;2;0;6;False
2022-01-02;16;41;2;1;11;False
2022-01-03;15;40;5;2;9;False
2022-01-04;26;65;4;2;9;False
2022-01-05;26;70;7;0;13;False
2022-01-06;26;67;5;0;10;False
2022-01-07;25;64;5;1;11;False
2022-01-08;17;29;4;0;12;False
2022-01-09;19;48;7;1;9;False
2022-01-10;30;88;8;1;16;False
2022-01-11;28;78;6;0;13;False
2022-01-12;27;87;5;0;11;False
2022-01-13;34;90;6;0;17;False
2022-01-14;24;65;3;0;14;False
2022-01-15;18;39;0;0;11;False
2022-01-16;20;56;5;2;12;False
2022-01-17;31;89;10;1;11;False
2022-01-18;27;82;4;0;10;False
2022-01-19;28;75;7;0;13;False
2022-01-20;28;77;8;1;9;False
2022-01-21;23;66;5;2;6;False
2022-01-22;16;38;0;1;9;False
2022-01-23;19;56;8;0;12;False
2022-01-24;36;100;9;0;17;False
2022-01-25;34;87;9;2;8;False
2022-01-26;25;94;7;1;11;False
2022-01-27;23;86;6;1;12;False
2022-01-28;25;65;6;0;8;False
2022-01-29;16;42;2;0;10;False
2022-01-30;18;49;3;0;12;False
2022-01-31;32;80;5;0;14;False
