date;Gas;Hunter Valley;Angus Taylor;Myanmar;air travel;isPartial
2022-01-01;40;0;0;1;1;False
2022-01-02;44;0;0;1;1;False
2022-01-03;49;0;0;1;1;False
2022-01-04;76;0;0;1;1;False
2022-01-05;75;0;0;1;2;False
2022-01-06;79;0;0;1;1;False
2022-01-07;86;0;0;1;1;False
2022-01-08;59;0;0;1;1;False
2022-01-09;59;0;0;1;1;False
2022-01-10;87;0;0;2;2;False
2022-01-11;79;0;0;1;2;False
2022-01-12;79;0;0;1;1;False
2022-01-13;75;0;0;1;2;False
2022-01-14;60;0;0;1;2;False
2022-01-15;60;0;0;1;1;False
2022-01-16;59;0;0;0;1;False
2022-01-17;81;0;0;1;1;False
2022-01-18;69;0;0;1;1;False
2022-01-19;72;0;0;1;2;False
2022-01-20;73;0;0;1;1;False
2022-01-21;74;0;0;1;1;False
2022-01-22;56;0;0;1;1;False
2022-01-23;55;0;0;1;1;False
2022-01-24;100;0;0;1;2;False
2022-01-25;84;0;0;1;1;False
2022-01-26;69;0;0;1;1;False
2022-01-27;68;0;0;1;1;False
2022-01-28;65;0;0;1;1;False
2022-01-29;56;0;0;1;1;False
2022-01-30;55;0;0;1;1;False
2022-01-31;83;0;0;1;2;False
