date;Star Wars;Star Wars: The Empire Strikes Back;West Virginia;Kentucky;air travel;isPartial
2022-01-01;93;0;3;10;3;False
2022-01-02;93;1;1;8;6;False
2022-01-03;79;1;3;7;5;False
2022-01-04;79;0;0;7;5;False
2022-01-05;85;0;1;8;7;False
2022-01-06;78;2;1;5;6;False
2022-01-07;75;0;2;5;6;False
2022-01-08;95;1;1;5;6;False
2022-01-09;93;0;2;4;5;False
2022-01-10;72;0;2;7;9;False
2022-01-11;66;0;1;6;7;False
2022-01-12;81;0;2;5;6;False
2022-01-13;76;0;4;5;9;False
2022-01-14;69;1;2;8;8;False
2022-01-15;88;1;1;5;6;False
2022-01-16;88;0;2;5;6;False
2022-01-17;68;1;3;7;6;False
2022-01-18;67;0;2;5;5;False
2022-01-19;63;0;1;4;7;False
2022-01-20;82;0;3;5;5;False
2022-01-21;83;0;2;5;3;False
2022-01-22;89;0;2;7;5;False
2022-01-23;100;0;2;5;6;False
2022-01-24;75;0;1;7;9;False
2022-01-25;73;0;2;6;4;False
2022-01-26;84;0;1;5;6;False
2022-01-27;77;0;1;5;6;False
2022-01-28;84;0;1;5;4;False
2022-01-29;94;1;2;6;5;False
2022-01-30;87;1;0;5;6;False
2022-01-31;75;0;1;7;7;False
