date;edinburgh;bbc world service - africa today;psychology;hitchin;air travel;isPartial
2022-01-01;64;0;6;4;1;False
2022-01-02;79;0;8;4;1;False
2022-01-03;79;0;10;4;1;False
2022-01-04;75;0;13;4;1;False
2022-01-05;70;0;13;4;1;False
2022-01-06;70;0;13;4;1;False
2022-01-07;74;0;11;4;1;False
2022-01-08;75;0;8;4;1;False
2022-01-09;76;0;11;4;1;False
2022-01-10;93;0;15;4;2;False
2022-01-11;76;0;16;4;1;False
2022-01-12;72;0;13;4;1;False
2022-01-13;74;0;14;4;2;False
2022-01-14;72;0;11;4;1;False
2022-01-15;81;0;9;5;1;False
2022-01-16;71;0;10;4;2;False
2022-01-17;67;0;15;3;1;False
2022-01-18;68;0;14;3;1;False
2022-01-19;67;0;12;3;1;False
2022-01-20;74;0;13;4;1;False
2022-01-21;78;0;11;4;1;False
2022-01-22;77;0;8;5;1;False
2022-01-23;80;0;12;4;1;False
2022-01-24;95;0;17;4;2;False
2022-01-25;77;0;15;3;1;False
2022-01-26;75;0;13;3;1;False
2022-01-27;76;0;11;4;1;False
2022-01-28;82;0;11;4;1;False
2022-01-29;100;0;7;4;1;False
2022-01-30;83;0;8;4;1;False
2022-01-31;78;0;13;4;1;False
