date;murray v djokovic;measles;lockdown;larry king;air travel;isPartial
2022-01-01;0;3;99;1;2;False
2022-01-02;1;3;94;1;4;False
2022-01-03;0;3;88;0;4;False
2022-01-04;0;3;100;0;4;False
2022-01-05;0;3;60;1;5;False
2022-01-06;1;2;45;1;4;False
2022-01-07;1;1;41;1;4;False
2022-01-08;0;3;34;1;4;False
2022-01-09;0;3;50;1;3;False
2022-01-10;0;3;38;1;5;False
2022-01-11;0;3;47;0;4;False
2022-01-12;0;3;47;1;5;False
2022-01-13;1;2;35;0;5;False
2022-01-14;0;2;48;1;5;False
2022-01-15;0;1;33;1;4;False
2022-01-16;0;2;28;0;5;False
2022-01-17;0;3;26;1;4;False
2022-01-18;0;3;25;0;4;False
2022-01-19;0;3;23;1;5;False
2022-01-20;0;3;22;0;2;False
2022-01-21;0;3;19;0;2;False
2022-01-22;0;2;18;1;4;False
2022-01-23;0;2;20;1;5;False
2022-01-24;0;4;28;1;5;False
2022-01-25;0;4;24;0;3;False
2022-01-26;0;2;19;1;4;False
2022-01-27;0;2;20;1;3;False
2022-01-28;0;3;18;0;3;False
2022-01-29;0;1;15;0;3;False
2022-01-30;0;3;14;1;4;False
2022-01-31;0;3;21;0;5;False
