date;kill the bill protests;gwyneth paltrow;arnold schwarzenegger;nobel prize;air travel;isPartial
2022-01-01;0;7;13;5;5;False
2022-01-02;0;8;15;4;11;False
2022-01-03;0;8;10;3;11;False
2022-01-04;0;8;8;8;12;False
2022-01-05;0;4;12;6;15;False
2022-01-06;0;4;7;7;12;False
2022-01-07;0;7;13;6;13;False
2022-01-08;0;5;14;6;13;False
2022-01-09;0;7;10;5;9;False
2022-01-10;2;6;12;5;16;False
2022-01-11;0;3;9;8;13;False
2022-01-12;0;4;9;6;15;False
2022-01-13;0;4;10;4;15;False
2022-01-14;0;5;12;6;16;False
2022-01-15;11;5;12;6;13;False
2022-01-16;0;8;11;4;15;False
2022-01-17;0;5;12;9;11;False
2022-01-18;0;4;10;6;11;False
2022-01-19;1;6;8;10;15;False
2022-01-20;0;4;7;5;7;False
2022-01-21;0;7;9;5;5;False
2022-01-22;0;14;100;7;12;False
2022-01-23;0;8;33;6;14;False
2022-01-24;0;4;17;9;15;False
2022-01-25;0;6;10;7;9;False
2022-01-26;0;2;12;8;12;False
2022-01-27;0;5;49;7;10;False
2022-01-28;0;4;45;6;9;False
2022-01-29;0;9;21;10;9;False
2022-01-30;2;7;16;9;12;False
2022-01-31;0;3;11;7;16;False
