date;Joaquín 'El Chapo' Guzmán;Justin Bieber;Tim Davie;Dallas;air travel;isPartial
2023-01-01;0;38;0;98;17;False
2023-01-02;2;34;0;62;20;False
2023-01-03;0;26;0;56;13;False
2023-01-04;0;23;0;48;20;False
2023-01-05;0;28;3;47;16;False
2023-01-06;0;28;1;62;16;False
2023-01-07;0;32;0;66;12;False
2023-01-08;0;30;0;83;19;False
2023-01-09;0;22;0;63;11;False
2023-01-10;0;25;0;51;17;False
2023-01-11;1;26;3;52;20;False
2023-01-12;0;22;2;47;17;False
2023-01-13;0;24;2;83;13;False
2023-01-14;0;37;0;81;12;False
2023-01-15;7;36;0;62;15;False
2023-01-16;0;27;0;69;15;False
2023-01-17;0;26;0;92;12;False
2023-01-18;0;22;0;53;18;False
2023-01-19;0;24;0;55;16;False
2023-01-20;0;26;0;58;13;False
2023-01-21;0;38;1;57;14;False
2023-01-22;1;29;2;87;16;False
2023-01-23;0;21;1;100;16;False
2023-01-24;0;33;1;67;12;False
2023-01-25;0;95;0;59;17;False
2023-01-26;0;58;0;40;15;False
2023-01-27;0;55;0;57;10;False
2023-01-28;0;45;5;66;15;False
2023-01-29;0;47;1;73;13;False
2023-01-30;0;30;2;54;22;False
2023-01-31;0;29;1;70;19;False
