date;Super Bowl;Network Rail;Fukushima;Aston Villa;air travel;isPartial
2023-01-01;4;2;0;100;1;False
2023-01-02;3;2;0;22;2;False
2023-01-03;3;3;0;17;1;False
2023-01-04;2;3;0;51;2;False
2023-01-05;2;3;0;23;1;False
2023-01-06;3;2;0;17;1;False
2023-01-07;3;1;0;18;1;False
2023-01-08;6;2;0;67;2;False
2023-01-09;5;3;0;22;1;False
2023-01-10;3;3;0;18;1;False
2023-01-11;2;3;0;18;2;False
2023-01-12;4;3;0;18;1;False
2023-01-13;4;2;1;93;1;False
2023-01-14;5;1;0;32;1;False
2023-01-15;7;2;0;19;1;False
2023-01-16;5;3;0;18;1;False
2023-01-17;4;3;0;17;1;False
2023-01-18;4;3;0;17;1;False
2023-01-19;2;3;0;23;1;False
2023-01-20;3;2;0;21;1;False
2023-01-21;5;2;0;51;1;False
2023-01-22;8;1;0;19;1;False
2023-01-23;7;3;0;22;1;False
2023-01-24;4;3;0;20;1;False
2023-01-25;3;3;0;20;1;False
2023-01-26;3;3;0;26;1;False
2023-01-27;5;2;0;21;1;False
2023-01-28;5;1;0;19;1;False
2023-01-29;13;1;0;22;1;False
2023-01-30;16;3;0;24;2;False
2023-01-31;8;3;0;36;2;False
