date;Cyberwar;Australian lifestyle;Paul Rudd;Women's tops;air travel;isPartial
2023-01-01;0;0;39;64;51;False
2023-01-02;4;10;44;67;60;False
2023-01-03;5;0;28;45;39;False
2023-01-04;0;0;23;54;59;False
2023-01-05;0;0;15;46;49;False
2023-01-06;3;0;30;34;49;False
2023-01-07;6;0;34;41;35;False
2023-01-08;0;4;100;67;56;False
2023-01-09;0;0;28;53;33;False
2023-01-10;0;0;31;58;52;False
2023-01-11;0;0;26;46;60;False
2023-01-12;0;0;31;45;50;False
2023-01-13;0;0;35;49;40;False
2023-01-14;0;0;23;63;37;False
2023-01-15;4;4;25;78;44;False
2023-01-16;0;0;19;53;46;False
2023-01-17;0;0;33;47;37;False
2023-01-18;0;0;23;45;53;False
2023-01-19;6;0;33;66;48;False
2023-01-20;0;0;32;52;39;False
2023-01-21;0;0;36;71;42;False
2023-01-22;0;0;29;52;47;False
2023-01-23;0;6;19;44;48;False
2023-01-24;0;0;24;66;37;False
2023-01-25;5;0;32;65;50;False
2023-01-26;0;0;24;36;45;False
2023-01-27;0;0;28;55;31;False
2023-01-28;0;0;49;78;44;False
2023-01-29;6;0;34;70;40;False
2023-01-30;0;0;31;50;67;False
2023-01-31;0;8;29;47;56;False
