date;Grayson Perry;Pembrokeshire holidays;Theatre;Baltimore Ravens;air travel;isPartial
2023-01-01;2;0;80;0;2;False
2023-01-02;1;0;84;0;2;False
2023-01-03;1;0;77;0;1;False
2023-01-04;1;0;79;0;2;False
2023-01-05;1;0;74;0;2;False
2023-01-06;1;0;82;0;2;False
2023-01-07;1;0;89;0;1;False
2023-01-08;1;0;82;0;2;False
2023-01-09;1;0;71;0;1;False
2023-01-10;0;0;75;0;2;False
2023-01-11;1;0;70;0;2;False
2023-01-12;0;0;81;0;2;False
2023-01-13;1;0;81;0;1;False
2023-01-14;1;0;99;0;1;False
2023-01-15;1;0;82;1;2;False
2023-01-16;1;0;69;1;2;False
2023-01-17;1;0;70;0;1;False
2023-01-18;1;0;73;0;2;False
2023-01-19;1;0;73;0;2;False
2023-01-20;1;0;80;0;1;False
2023-01-21;1;0;93;0;1;False
2023-01-22;2;0;83;0;2;False
2023-01-23;2;0;72;0;2;False
2023-01-24;1;0;77;0;1;False
2023-01-25;3;0;77;0;2;False
2023-01-26;9;0;85;0;2;False
2023-01-27;3;0;87;0;1;False
2023-01-28;2;0;100;0;2;False
2023-01-29;2;0;81;0;1;False
2023-01-30;1;0;74;0;2;False
2023-01-31;1;0;76;0;2;False
