date;Crime;Xi Jinping;Ubisoft;One Nation;air travel;isPartial
2023-01-01;76;3;10;1;6;False
2023-01-02;83;4;11;1;7;False
2023-01-03;83;0;10;0;5;False
2023-01-04;85;0;6;0;7;False
2023-01-05;93;2;7;1;6;False
2023-01-06;79;0;8;2;6;False
2023-01-07;77;1;7;0;4;False
2023-01-08;81;1;11;0;7;False
2023-01-09;95;1;6;1;4;False
2023-01-10;95;1;7;1;6;False
2023-01-11;87;1;8;0;7;False
2023-01-12;99;1;11;1;6;False
2023-01-13;82;1;9;0;5;False
2023-01-14;77;0;9;1;4;False
2023-01-15;84;1;12;1;5;False
2023-01-16;99;2;5;1;5;False
2023-01-17;97;2;7;1;4;False
2023-01-18;96;1;6;1;6;False
2023-01-19;85;1;9;1;6;False
2023-01-20;81;3;8;1;5;False
2023-01-21;73;0;11;1;5;False
2023-01-22;77;1;9;1;5;False
2023-01-23;91;0;6;1;6;False
2023-01-24;89;1;6;1;4;False
2023-01-25;100;1;7;0;6;False
2023-01-26;99;1;6;1;5;False
2023-01-27;88;0;8;1;4;False
2023-01-28;70;0;9;0;5;False
2023-01-29;82;0;10;2;5;False
2023-01-30;83;0;7;0;8;False
2023-01-31;88;0;8;1;6;False
