date;jake davison;Bill Bryson;Southampton;colin farrell;air travel;isPartial
2023-01-01;0;0;28;1;1;False
2023-01-02;0;0;30;1;1;False
2023-01-03;0;0;29;1;1;False
2023-01-04;0;0;51;1;1;False
2023-01-05;0;0;31;1;1;False
2023-01-06;0;0;29;1;1;False
2023-01-07;0;0;40;1;1;False
2023-01-08;0;0;28;1;1;False
2023-01-09;0;0;27;1;1;False
2023-01-10;0;0;29;1;1;False
2023-01-11;0;0;100;6;1;False
2023-01-12;0;0;45;3;1;False
2023-01-13;0;0;29;3;1;False
2023-01-14;0;0;48;3;1;False
2023-01-15;0;0;30;3;1;False
2023-01-16;0;0;30;2;1;False
2023-01-17;0;0;28;1;1;False
2023-01-18;1;0;28;1;1;False
2023-01-19;0;0;27;1;1;False
2023-01-20;0;0;29;2;1;False
2023-01-21;0;0;49;2;1;False
2023-01-22;0;0;27;1;1;False
2023-01-23;0;0;29;1;1;False
2023-01-24;0;0;78;1;1;False
2023-01-25;0;0;34;2;1;False
2023-01-26;0;0;25;1;1;False
2023-01-27;0;0;30;1;1;False
2023-01-28;0;0;41;2;1;False
2023-01-29;0;0;28;2;1;False
2023-01-30;0;0;30;1;1;False
2023-01-31;0;0;79;1;1;False
