date;paris hilton;Biomass and bioenergy;Brazil;Jonathan Raban;air travel;isPartial
2023-01-01;7;0;48;0;4;False
2023-01-02;5;0;50;0;5;False
2023-01-03;5;0;49;0;3;False
2023-01-04;3;0;36;0;5;False
2023-01-05;4;0;35;0;4;False
2023-01-06;4;0;36;0;4;False
2023-01-07;3;0;30;0;3;False
2023-01-08;5;0;53;0;5;False
2023-01-09;3;0;67;0;3;False
2023-01-10;4;0;43;0;4;False
2023-01-11;3;0;34;0;5;False
2023-01-12;3;0;35;0;4;False
2023-01-13;4;0;34;0;3;False
2023-01-14;3;0;31;0;3;False
2023-01-15;3;0;32;0;4;False
2023-01-16;5;0;32;1;4;False
2023-01-17;3;0;31;0;3;False
2023-01-18;3;0;35;0;4;False
2023-01-19;3;0;34;1;4;False
2023-01-20;3;0;32;1;3;False
2023-01-21;4;0;100;0;3;False
2023-01-22;2;0;44;0;4;False
2023-01-23;3;0;33;0;4;False
2023-01-24;2;0;35;0;3;False
2023-01-25;53;0;37;0;4;False
2023-01-26;13;0;31;0;4;False
2023-01-27;5;0;33;0;3;False
2023-01-28;4;0;26;0;4;False
2023-01-29;8;0;28;1;3;False
2023-01-30;5;0;32;0;5;False
2023-01-31;3;0;32;0;5;False
