date;World records;nobel prize;Travel and transport;greater manchester;air travel;isPartial
2023-01-01;35;31;9;57;53;False
2023-01-02;22;28;7;56;63;False
2023-01-03;21;29;0;69;41;False
2023-01-04;22;27;4;81;61;False
2023-01-05;26;30;0;80;51;False
2023-01-06;18;37;4;70;51;False
2023-01-07;13;24;6;59;37;False
2023-01-08;18;33;0;58;59;False
2023-01-09;19;29;0;75;35;False
2023-01-10;22;27;0;75;55;False
2023-01-11;18;24;0;71;62;False
2023-01-12;11;21;9;68;52;False
2023-01-13;18;19;0;65;41;False
2023-01-14;14;24;5;48;39;False
2023-01-15;23;34;4;51;46;False
2023-01-16;22;29;0;67;47;False
2023-01-17;24;24;4;73;39;False
2023-01-18;18;34;0;68;56;False
2023-01-19;10;43;6;63;50;False
2023-01-20;10;32;4;100;41;False
2023-01-21;24;13;0;44;44;False
2023-01-22;33;29;0;52;49;False
2023-01-23;27;28;4;64;50;False
2023-01-24;25;28;6;81;38;False
2023-01-25;23;52;13;65;52;False
2023-01-26;23;33;14;70;47;False
2023-01-27;28;24;0;48;33;False
2023-01-28;37;16;0;50;46;False
2023-01-29;38;21;3;63;42;False
2023-01-30;31;40;5;67;69;False
2023-01-31;7;26;8;70;58;False
