date;Katharine Birbalsingh;Phil Mickelson;September 11 2001;School attendance and absence;air travel;isPartial
2023-01-01;0;0;0;0;54;False
2023-01-02;0;0;0;0;64;False
2023-01-03;0;0;0;0;42;False
2023-01-04;0;0;0;0;63;False
2023-01-05;0;5;5;0;52;False
2023-01-06;18;3;0;0;52;False
2023-01-07;100;0;0;0;38;False
2023-01-08;5;0;4;0;60;False
2023-01-09;6;0;0;0;35;False
2023-01-10;0;0;0;0;56;False
2023-01-11;3;0;0;0;64;False
2023-01-12;16;0;0;0;53;False
2023-01-13;0;3;0;0;43;False
2023-01-14;0;3;0;0;40;False
2023-01-15;0;5;0;0;47;False
2023-01-16;5;6;4;0;49;False
2023-01-17;0;0;4;0;40;False
2023-01-18;0;0;0;0;57;False
2023-01-19;0;6;0;0;52;False
2023-01-20;9;0;0;0;42;False
2023-01-21;0;4;0;0;45;False
2023-01-22;9;0;0;0;50;False
2023-01-23;8;0;6;0;51;False
2023-01-24;0;0;0;0;39;False
2023-01-25;4;8;0;0;54;False
2023-01-26;0;0;0;0;48;False
2023-01-27;0;0;7;0;33;False
2023-01-28;0;0;0;0;47;False
2023-01-29;21;4;4;0;43;False
2023-01-30;6;11;0;0;71;False
2023-01-31;3;0;0;0;60;False
