date;Villarreal;Sweeney Todd;cardiff;Independents;air travel;isPartial
2023-01-01;0;1;58;0;1;False
2023-01-02;0;1;50;0;1;False
2023-01-03;1;0;53;0;1;False
2023-01-04;0;0;51;0;1;False
2023-01-05;0;0;46;0;1;False
2023-01-06;0;0;50;0;1;False
2023-01-07;6;0;57;0;1;False
2023-01-08;1;0;100;0;1;False
2023-01-09;0;0;50;0;1;False
2023-01-10;0;0;52;0;1;False
2023-01-11;0;0;51;0;1;False
2023-01-12;0;0;53;0;1;False
2023-01-13;2;1;53;0;1;False
2023-01-14;1;0;71;0;1;False
2023-01-15;0;0;51;0;1;False
2023-01-16;0;0;59;0;1;False
2023-01-17;0;0;55;0;1;False
2023-01-18;0;0;94;0;1;False
2023-01-19;8;0;54;0;1;False
2023-01-20;2;0;51;0;1;False
2023-01-21;0;0;62;0;1;False
2023-01-22;2;0;46;0;1;False
2023-01-23;1;0;53;0;1;False
2023-01-24;1;0;52;0;1;False
2023-01-25;0;0;49;0;1;False
2023-01-26;0;0;47;0;1;False
2023-01-27;0;0;50;0;1;False
2023-01-28;0;0;54;0;1;False
2023-01-29;0;0;46;0;1;False
2023-01-30;3;0;49;0;1;False
2023-01-31;1;0;63;0;1;False
