date;retail;Dolphins;Takács Quartet;claire foy;air travel;isPartial
2023-01-01;89;34;0;1;7;False
2023-01-02;100;17;0;0;9;False
2023-01-03;90;10;0;2;6;False
2023-01-04;95;6;0;2;9;False
2023-01-05;90;9;0;1;7;False
2023-01-06;83;10;0;3;7;False
2023-01-07;82;10;0;2;5;False
2023-01-08;78;33;0;4;8;False
2023-01-09;89;16;0;3;5;False
2023-01-10;89;10;0;2;8;False
2023-01-11;88;9;0;1;9;False
2023-01-12;94;10;0;2;7;False
2023-01-13;87;10;0;1;6;False
2023-01-14;83;11;0;2;5;False
2023-01-15;75;65;0;2;6;False
2023-01-16;89;15;0;2;7;False
2023-01-17;85;11;0;1;5;False
2023-01-18;88;9;0;1;8;False
2023-01-19;84;8;0;1;7;False
2023-01-20;90;8;0;23;6;False
2023-01-21;77;13;0;22;6;False
2023-01-22;77;14;0;3;7;False
2023-01-23;84;10;0;3;7;False
2023-01-24;90;7;0;1;5;False
2023-01-25;90;8;0;1;7;False
2023-01-26;82;9;0;4;7;False
2023-01-27;88;11;0;43;5;False
2023-01-28;77;12;0;22;6;False
2023-01-29;77;13;0;11;6;False
2023-01-30;83;10;0;5;10;False
2023-01-31;96;10;0;5;8;False
