date;Sam Mendes;tyre nichols;Amy Winehouse;Meta;air travel;isPartial
2023-01-01;2;0;2;16;2;False
2023-01-02;1;0;2;14;2;False
2023-01-03;1;0;1;14;1;False
2023-01-04;0;0;2;15;2;False
2023-01-05;1;0;2;15;2;False
2023-01-06;3;0;2;15;2;False
2023-01-07;1;0;2;13;1;False
2023-01-08;6;0;2;12;2;False
2023-01-09;1;0;1;12;1;False
2023-01-10;2;0;1;13;2;False
2023-01-11;1;0;1;14;2;False
2023-01-12;1;0;2;15;2;False
2023-01-13;1;0;3;14;1;False
2023-01-14;1;0;6;12;1;False
2023-01-15;1;0;4;12;2;False
2023-01-16;1;0;4;14;2;False
2023-01-17;1;0;5;13;1;False
2023-01-18;0;0;4;13;2;False
2023-01-19;0;0;4;13;2;False
2023-01-20;1;0;3;14;1;False
2023-01-21;0;3;3;12;2;False
2023-01-22;1;0;4;12;2;False
2023-01-23;0;0;3;13;2;False
2023-01-24;0;0;4;14;1;False
2023-01-25;0;1;3;13;2;False
2023-01-26;0;5;2;13;2;False
2023-01-27;0;36;2;13;1;False
2023-01-28;0;100;2;11;2;False
2023-01-29;1;30;3;12;1;False
2023-01-30;0;12;2;14;2;False
2023-01-31;0;8;2;15;2;False
