date;Metal;Royal Academy of Arts;Dominic Perrottet;UK unemployment and employment statistics;air travel;isPartial
2023-01-01;83;0;0;0;3;False
2023-01-02;96;1;0;0;4;False
2023-01-03;91;0;0;0;3;False
2023-01-04;94;1;0;0;4;False
2023-01-05;94;1;0;0;3;False
2023-01-06;91;1;0;0;3;False
2023-01-07;95;1;0;0;2;False
2023-01-08;99;1;0;0;4;False
2023-01-09;90;0;0;0;2;False
2023-01-10;92;1;0;0;3;False
2023-01-11;86;1;0;0;4;False
2023-01-12;95;2;0;0;3;False
2023-01-13;88;1;0;0;3;False
2023-01-14;91;0;0;0;2;False
2023-01-15;100;1;0;0;3;False
2023-01-16;93;1;0;0;3;False
2023-01-17;91;2;0;0;2;False
2023-01-18;90;1;1;0;3;False
2023-01-19;90;1;0;0;3;False
2023-01-20;96;1;0;0;3;False
2023-01-21;97;1;0;0;3;False
2023-01-22;100;1;0;0;3;False
2023-01-23;98;1;0;0;3;False
2023-01-24;94;0;0;0;2;False
2023-01-25;91;1;0;0;3;False
2023-01-26;91;1;0;0;3;False
2023-01-27;87;1;0;0;2;False
2023-01-28;92;1;0;0;3;False
2023-01-29;96;0;1;0;3;False
2023-01-30;100;1;0;0;4;False
2023-01-31;98;1;0;0;4;False
