date;British empire;Civil liberties - international;RSPB Big Garden Birdwatch;Colombia;air travel;isPartial
2023-01-01;19;0;2;82;27;False
2023-01-02;16;0;0;65;32;False
2023-01-03;21;0;0;84;20;False
2023-01-04;18;0;2;83;31;False
2023-01-05;21;0;3;75;25;False
2023-01-06;14;0;0;74;26;False
2023-01-07;19;0;0;62;19;False
2023-01-08;13;0;0;96;29;False
2023-01-09;19;0;6;60;17;False
2023-01-10;19;0;0;69;28;False
2023-01-11;20;0;0;77;31;False
2023-01-12;22;0;2;73;26;False
2023-01-13;18;0;0;63;21;False
2023-01-14;18;0;0;71;20;False
2023-01-15;18;0;0;83;23;False
2023-01-16;21;0;0;70;24;False
2023-01-17;16;0;3;69;19;False
2023-01-18;21;0;0;62;28;False
2023-01-19;16;0;2;69;25;False
2023-01-20;20;0;0;80;21;False
2023-01-21;15;0;3;73;22;False
2023-01-22;17;0;2;82;24;False
2023-01-23;11;0;0;99;25;False
2023-01-24;16;0;4;76;19;False
2023-01-25;17;0;0;79;26;False
2023-01-26;22;0;4;82;24;False
2023-01-27;16;0;18;71;16;False
2023-01-28;14;0;25;72;23;False
2023-01-29;24;0;28;98;21;False
2023-01-30;20;0;8;100;35;False
2023-01-31;19;0;2;81;29;False
