date;elvis presley;Unite;Liverpool;Flight of the Conchords;air travel;isPartial
2023-01-01;2;0;38;0;0;False
2023-01-02;1;1;100;0;0;False
2023-01-03;1;1;42;0;0;False
2023-01-04;0;1;34;0;0;False
2023-01-05;0;1;45;0;0;False
2023-01-06;1;1;36;0;0;False
2023-01-07;1;1;98;0;0;False
2023-01-08;2;1;45;0;0;False
2023-01-09;1;1;34;0;0;False
2023-01-10;0;1;35;0;0;False
2023-01-11;1;1;34;0;0;False
2023-01-12;1;1;39;0;0;False
2023-01-13;20;1;36;0;0;False
2023-01-14;6;1;79;0;0;False
2023-01-15;3;0;40;0;0;False
2023-01-16;1;1;38;0;0;False
2023-01-17;1;1;94;0;0;False
2023-01-18;1;1;41;0;0;False
2023-01-19;1;1;37;0;0;False
2023-01-20;1;1;37;0;0;False
2023-01-21;2;1;95;0;0;False
2023-01-22;2;1;38;0;0;False
2023-01-23;1;1;36;0;0;False
2023-01-24;1;1;35;0;0;False
2023-01-25;1;1;35;0;0;False
2023-01-26;1;1;34;0;0;False
2023-01-27;1;1;34;0;0;False
2023-01-28;1;0;38;0;0;False
2023-01-29;1;0;86;0;0;False
2023-01-30;1;1;37;0;0;False
2023-01-31;1;1;40;0;0;False
