date;Matt Hancock;Timothée Chalamet;Michael Frayn;Gotye;air travel;isPartial
2023-01-01;9;1;0;0;17;False
2023-01-02;7;3;0;1;20;False
2023-01-03;6;2;0;0;13;False
2023-01-04;26;2;0;0;19;False
2023-01-05;9;0;0;0;16;False
2023-01-06;8;0;0;0;16;False
2023-01-07;1;1;0;5;12;False
2023-01-08;10;0;0;0;18;False
2023-01-09;7;0;0;0;11;False
2023-01-10;6;2;2;3;17;False
2023-01-11;16;3;0;2;20;False
2023-01-12;16;2;0;3;16;False
2023-01-13;4;1;1;2;13;False
2023-01-14;12;5;0;2;12;False
2023-01-15;4;0;0;3;14;False
2023-01-16;6;0;0;4;15;False
2023-01-17;6;0;0;0;12;False
2023-01-18;6;1;0;1;18;False
2023-01-19;4;3;0;0;16;False
2023-01-20;5;1;0;0;13;False
2023-01-21;0;0;0;0;14;False
2023-01-22;4;1;0;3;15;False
2023-01-23;8;0;0;1;16;False
2023-01-24;8;3;0;1;12;False
2023-01-25;64;0;2;5;16;False
2023-01-26;100;0;0;2;15;False
2023-01-27;60;3;3;2;10;False
2023-01-28;25;0;0;0;14;False
2023-01-29;9;2;2;1;13;False
2023-01-30;10;0;1;2;22;False
2023-01-31;67;0;3;0;18;False
