date;South Carolina;Reality TV;Brendon McCullum;European capital of culture;air travel;isPartial
2023-01-01;36;0;0;0;76;False
2023-01-02;44;29;0;0;90;False
2023-01-03;26;35;0;0;59;False
2023-01-04;53;21;7;6;89;False
2023-01-05;30;23;0;0;73;False
2023-01-06;77;29;0;0;73;False
2023-01-07;38;18;0;0;53;False
2023-01-08;35;27;0;6;84;False
2023-01-09;27;25;5;0;50;False
2023-01-10;25;47;0;0;79;False
2023-01-11;24;28;0;0;90;False
2023-01-12;42;28;0;0;75;False
2023-01-13;34;43;0;0;60;False
2023-01-14;34;26;0;0;56;False
2023-01-15;40;29;0;5;66;False
2023-01-16;38;54;5;8;68;False
2023-01-17;19;32;0;7;56;False
2023-01-18;34;16;7;0;80;False
2023-01-19;40;37;0;0;73;False
2023-01-20;34;0;0;0;59;False
2023-01-21;45;16;0;0;63;False
2023-01-22;40;22;0;0;70;False
2023-01-23;30;27;13;0;72;False
2023-01-24;32;32;0;0;55;False
2023-01-25;36;30;0;0;75;False
2023-01-26;51;31;0;0;68;False
2023-01-27;54;46;0;0;47;False
2023-01-28;19;37;0;11;66;False
2023-01-29;29;33;0;0;60;False
2023-01-30;25;37;0;0;100;False
2023-01-31;42;16;0;0;84;False
