date;bitcoin;meghan, duchess of sussex;prince harry, duke of sussex;social media regulation debate;air travel;isPartial
2022-01-01;34;0;0;0;1;False
2022-01-02;31;0;0;0;2;False
2022-01-03;36;0;0;0;2;False
2022-01-04;39;0;0;0;2;False
2022-01-05;49;0;0;0;3;False
2022-01-06;56;0;0;0;2;False
2022-01-07;61;0;0;0;2;False
2022-01-08;57;0;0;0;2;False
2022-01-09;52;0;0;0;1;False
2022-01-10;59;0;1;0;3;False
2022-01-11;53;0;0;0;2;False
2022-01-12;46;0;0;0;2;False
2022-01-13;48;0;0;0;3;False
2022-01-14;37;0;0;0;3;False
2022-01-15;35;0;0;0;3;False
2022-01-16;35;0;0;0;3;False
2022-01-17;37;0;0;0;2;False
2022-01-18;38;0;0;0;2;False
2022-01-19;35;0;0;0;3;False
2022-01-20;38;0;0;0;2;False
2022-01-21;73;0;0;0;1;False
2022-01-22;100;0;0;0;2;False
2022-01-23;65;0;0;0;2;False
2022-01-24;97;0;0;0;3;False
2022-01-25;64;0;0;0;2;False
2022-01-26;61;0;0;0;2;False
2022-01-27;50;0;0;0;2;False
2022-01-28;52;0;0;0;2;False
2022-01-29;40;0;0;0;2;False
2022-01-30;43;0;0;0;3;False
2022-01-31;47;0;0;0;3;False
