date;Kate Moss;Cocktails;Freddie Mercury;Silvio Berlusconi;air travel;isPartial
2022-01-01;7;70;74;1;7;False
2022-01-02;7;62;32;0;13;False
2022-01-03;16;45;16;0;11;False
2022-01-04;12;42;16;0;10;False
2022-01-05;11;40;15;0;17;False
2022-01-06;14;48;12;0;14;False
2022-01-07;14;60;23;0;13;False
2022-01-08;15;85;28;0;13;False
2022-01-09;15;55;26;0;8;False
2022-01-10;11;44;9;0;21;False
2022-01-11;10;48;13;1;14;False
2022-01-12;12;46;12;1;14;False
2022-01-13;12;44;14;2;17;False
2022-01-14;12;59;13;1;16;False
2022-01-15;9;100;16;1;16;False
2022-01-16;29;54;18;2;17;False
2022-01-17;20;38;11;2;10;False
2022-01-18;10;41;9;0;14;False
2022-01-19;11;43;20;0;15;False
2022-01-20;10;53;13;3;10;False
2022-01-21;10;71;20;2;8;False
2022-01-22;10;76;19;3;11;False
2022-01-23;10;64;15;0;14;False
2022-01-24;8;53;15;0;18;False
2022-01-25;6;44;9;0;10;False
2022-01-26;8;45;11;1;13;False
2022-01-27;3;49;16;0;12;False
2022-01-28;6;65;14;1;10;False
2022-01-29;14;88;21;0;12;False
2022-01-30;8;51;14;0;15;False
2022-01-31;10;51;8;0;18;False
