date;Australian education;LGBTQ+ rights;Hospitals;Public services policy;air travel;isPartial
2022-01-01;0;41;14;0;4;False
2022-01-02;0;53;16;0;7;False
2022-01-03;1;60;21;0;6;False
2022-01-04;0;82;45;1;7;False
2022-01-05;0;84;34;0;8;False
2022-01-06;0;73;26;0;6;False
2022-01-07;0;80;30;0;7;False
2022-01-08;0;55;20;0;8;False
2022-01-09;1;58;19;0;7;False
2022-01-10;0;92;25;1;10;False
2022-01-11;1;90;26;2;7;False
2022-01-12;0;83;24;0;8;False
2022-01-13;0;90;24;0;10;False
2022-01-14;0;76;21;0;10;False
2022-01-15;2;55;16;2;9;False
2022-01-16;2;70;17;0;8;False
2022-01-17;1;87;27;0;6;False
2022-01-18;0;84;25;0;8;False
2022-01-19;1;84;26;0;10;False
2022-01-20;0;83;28;0;6;False
2022-01-21;0;75;25;1;4;False
2022-01-22;0;56;19;1;6;False
2022-01-23;0;57;17;0;8;False
2022-01-24;0;100;32;1;10;False
2022-01-25;0;92;24;0;5;False
2022-01-26;0;88;26;0;6;False
2022-01-27;0;78;28;0;7;False
2022-01-28;0;76;23;0;6;False
2022-01-29;3;49;18;0;8;False
2022-01-30;0;57;14;2;7;False
2022-01-31;0;80;29;1;9;False
