date;Dorset;Silent film;Greta Garbo;BFI;air travel;isPartial
2022-01-01;78;4;0;6;4;False
2022-01-02;72;2;0;7;7;False
2022-01-03;84;1;0;8;6;False
2022-01-04;93;1;0;8;6;False
2022-01-05;85;1;0;8;9;False
2022-01-06;80;0;1;8;7;False
2022-01-07;81;0;0;9;7;False
2022-01-08;86;2;1;9;8;False
2022-01-09;87;3;1;7;6;False
2022-01-10;92;1;1;7;11;False
2022-01-11;83;0;0;9;9;False
2022-01-12;85;0;0;6;8;False
2022-01-13;91;1;1;8;11;False
2022-01-14;75;1;0;6;9;False
2022-01-15;86;2;3;9;7;False
2022-01-16;94;1;2;11;8;False
2022-01-17;88;1;0;7;7;False
2022-01-18;79;1;1;7;7;False
2022-01-19;80;0;0;7;8;False
2022-01-20;77;1;0;5;6;False
2022-01-21;81;1;0;8;4;False
2022-01-22;72;1;1;8;6;False
2022-01-23;76;2;1;8;8;False
2022-01-24;100;2;0;10;11;False
2022-01-25;79;1;2;8;6;False
2022-01-26;94;1;0;5;7;False
2022-01-27;86;1;0;6;8;False
2022-01-28;86;1;1;7;6;False
2022-01-29;87;1;2;7;7;False
2022-01-30;81;0;1;5;8;False
2022-01-31;89;1;0;5;9;False
