date;Jordan Peterson;Ken Wyatt;World cinema;Feminism;air travel;isPartial
2022-01-01;44;0;24;24;22;False
2022-01-02;59;0;18;32;41;False
2022-01-03;41;0;19;17;34;False
2022-01-04;51;0;12;23;35;False
2022-01-05;49;0;0;32;51;False
2022-01-06;53;0;14;37;40;False
2022-01-07;54;0;8;29;42;False
2022-01-08;45;0;12;43;47;False
2022-01-09;42;4;15;46;36;False
2022-01-10;47;0;10;54;64;False
2022-01-11;51;0;5;52;52;False
2022-01-12;42;0;8;44;44;False
2022-01-13;50;0;12;44;66;False
2022-01-14;38;0;7;45;55;False
2022-01-15;62;0;25;30;44;False
2022-01-16;55;4;8;41;47;False
2022-01-17;48;0;7;33;43;False
2022-01-18;51;4;6;39;39;False
2022-01-19;47;0;9;29;49;False
2022-01-20;44;0;7;36;36;False
2022-01-21;41;0;12;36;25;False
2022-01-22;40;0;19;23;35;False
2022-01-23;48;0;12;48;45;False
2022-01-24;59;0;8;54;64;False
2022-01-25;73;0;12;44;33;False
2022-01-26;100;0;8;36;42;False
2022-01-27;85;0;9;35;47;False
2022-01-28;76;0;9;25;33;False
2022-01-29;95;0;19;28;40;False
2022-01-30;72;0;10;19;47;False
2022-01-31;61;0;9;39;54;False
