date;Exploration;Metal;Citigroup;Contraception and family planning;air travel;isPartial
2022-01-01;1;77;0;0;2;False
2022-01-02;2;83;1;0;3;False
2022-01-03;2;83;0;0;3;False
2022-01-04;2;87;0;0;3;False
2022-01-05;1;84;0;0;4;False
2022-01-06;3;78;0;0;3;False
2022-01-07;2;79;0;0;3;False
2022-01-08;1;85;0;0;4;False
2022-01-09;2;84;0;0;3;False
2022-01-10;2;93;0;0;5;False
2022-01-11;2;79;1;0;4;False
2022-01-12;1;84;1;0;3;False
2022-01-13;1;92;1;0;5;False
2022-01-14;2;84;1;0;4;False
2022-01-15;2;88;0;0;3;False
2022-01-16;1;100;0;0;4;False
2022-01-17;1;89;0;0;3;False
2022-01-18;2;84;0;0;3;False
2022-01-19;2;76;0;0;4;False
2022-01-20;2;80;0;0;3;False
2022-01-21;2;81;0;0;2;False
2022-01-22;1;89;0;0;3;False
2022-01-23;2;91;1;0;4;False
2022-01-24;3;100;0;0;5;False
2022-01-25;2;86;0;0;3;False
2022-01-26;2;82;0;0;3;False
2022-01-27;2;81;0;0;4;False
2022-01-28;2;85;1;0;3;False
2022-01-29;1;88;0;0;3;False
2022-01-30;1;87;0;0;4;False
2022-01-31;2;89;1;0;4;False
