date;Zhang Yimou;Action and adventure films;UK charts;Matthew McConaughey;air travel;isPartial
2022-01-01;0;7;53;62;25;False
2022-01-02;7;0;60;44;47;False
2022-01-03;0;0;45;77;38;False
2022-01-04;0;0;53;70;40;False
2022-01-05;0;0;40;55;57;False
2022-01-06;0;0;41;50;45;False
2022-01-07;0;7;55;71;47;False
2022-01-08;0;0;53;92;53;False
2022-01-09;0;14;34;95;41;False
2022-01-10;0;4;30;58;72;False
2022-01-11;0;0;38;44;58;False
2022-01-12;0;0;36;55;50;False
2022-01-13;0;6;51;66;74;False
2022-01-14;5;0;49;67;62;False
2022-01-15;4;0;58;56;49;False
2022-01-16;0;4;58;98;54;False
2022-01-17;0;5;39;32;48;False
2022-01-18;0;0;42;31;44;False
2022-01-19;4;0;40;27;55;False
2022-01-20;0;0;46;46;40;False
2022-01-21;0;0;77;32;28;False
2022-01-22;0;0;100;62;39;False
2022-01-23;4;0;100;45;51;False
2022-01-24;9;0;54;34;72;False
2022-01-25;8;0;53;37;37;False
2022-01-26;0;0;54;21;47;False
2022-01-27;0;0;45;39;53;False
2022-01-28;0;3;80;65;37;False
2022-01-29;0;0;91;68;45;False
2022-01-30;0;0;52;41;53;False
2022-01-31;0;0;48;38;61;False
