date;Green travel;Sharia law;Dyslexia;Canberra;air travel;isPartial
2022-01-01;13;2;23;9;13;False
2022-01-02;15;0;34;13;24;False
2022-01-03;19;0;34;13;20;False
2022-01-04;11;9;41;9;21;False
2022-01-05;16;3;36;13;30;False
2022-01-06;13;5;50;20;24;False
2022-01-07;11;3;36;10;25;False
2022-01-08;14;3;42;7;28;False
2022-01-09;5;5;48;11;21;False
2022-01-10;11;3;55;9;38;False
2022-01-11;13;3;57;8;31;False
2022-01-12;10;2;70;8;26;False
2022-01-13;8;0;79;4;39;False
2022-01-14;14;4;55;11;33;False
2022-01-15;9;2;46;12;26;False
2022-01-16;9;5;40;13;28;False
2022-01-17;13;4;58;9;25;False
2022-01-18;11;2;68;8;23;False
2022-01-19;9;0;74;11;29;False
2022-01-20;7;2;60;10;21;False
2022-01-21;6;7;70;9;15;False
2022-01-22;11;2;41;4;21;False
2022-01-23;12;0;44;16;27;False
2022-01-24;15;0;88;4;38;False
2022-01-25;11;4;79;9;19;False
2022-01-26;9;2;100;12;25;False
2022-01-27;11;0;78;13;28;False
2022-01-28;13;3;55;17;19;False
2022-01-29;11;2;55;15;23;False
2022-01-30;9;2;42;13;28;False
2022-01-31;14;0;77;12;32;False
