date;Period drama (TV);Downton Abbey;Dakota Johnson;Tig Notaro;air travel;isPartial
2022-01-01;0;100;8;0;2;False
2022-01-02;0;38;10;0;3;False
2022-01-03;0;20;8;0;3;False
2022-01-04;0;13;6;0;3;False
2022-01-05;0;10;5;0;4;False
2022-01-06;0;9;4;0;3;False
2022-01-07;0;10;5;0;3;False
2022-01-08;0;14;7;0;4;False
2022-01-09;0;18;4;0;3;False
2022-01-10;0;10;3;0;5;False
2022-01-11;0;9;3;1;4;False
2022-01-12;0;10;2;1;4;False
2022-01-13;0;9;3;0;5;False
2022-01-14;0;9;3;0;5;False
2022-01-15;0;11;4;0;4;False
2022-01-16;0;13;5;1;4;False
2022-01-17;0;8;2;0;4;False
2022-01-18;0;8;2;0;3;False
2022-01-19;0;6;5;0;4;False
2022-01-20;0;8;3;0;3;False
2022-01-21;0;9;7;0;2;False
2022-01-22;0;10;7;0;3;False
2022-01-23;0;10;5;0;4;False
2022-01-24;0;10;5;0;5;False
2022-01-25;0;10;4;1;3;False
2022-01-26;0;11;5;0;3;False
2022-01-27;0;10;3;0;4;False
2022-01-28;0;10;4;0;3;False
2022-01-29;0;13;4;0;3;False
2022-01-30;0;9;4;0;4;False
2022-01-31;0;7;4;0;4;False
