date;CBBC;Bahrain;Interpol;European court of human rights;air travel;isPartial
2022-01-01;57;21;0;2;13;False
2022-01-02;57;27;5;0;24;False
2022-01-03;50;26;8;0;20;False
2022-01-04;67;39;5;0;21;False
2022-01-05;73;32;2;3;29;False
2022-01-06;71;32;6;3;23;False
2022-01-07;100;26;5;0;24;False
2022-01-08;89;32;9;0;27;False
2022-01-09;61;23;7;0;21;False
2022-01-10;82;30;9;3;37;False
2022-01-11;68;31;6;3;30;False
2022-01-12;65;21;8;0;26;False
2022-01-13;71;39;4;6;38;False
2022-01-14;90;23;0;0;32;False
2022-01-15;67;29;7;0;25;False
2022-01-16;70;25;6;3;28;False
2022-01-17;75;34;2;0;25;False
2022-01-18;59;27;6;6;23;False
2022-01-19;66;24;8;6;29;False
2022-01-20;75;23;3;0;21;False
2022-01-21;88;21;7;3;15;False
2022-01-22;64;26;5;0;20;False
2022-01-23;75;33;4;5;26;False
2022-01-24;75;21;5;0;37;False
2022-01-25;72;21;6;1;19;False
2022-01-26;68;24;13;0;24;False
2022-01-27;79;26;7;0;27;False
2022-01-28;85;29;9;0;19;False
2022-01-29;60;24;11;0;23;False
2022-01-30;56;23;5;0;27;False
2022-01-31;77;31;5;4;32;False
