date;Tunisia;US work & careers;US unemployment and employment statistics;New Jersey;air travel;isPartial
2022-01-01;8;0;0;16;5;False
2022-01-02;9;0;0;15;10;False
2022-01-03;11;0;0;12;8;False
2022-01-04;12;0;0;17;8;False
2022-01-05;11;0;0;14;12;False
2022-01-06;18;0;0;14;9;False
2022-01-07;11;0;0;14;10;False
2022-01-08;12;0;0;14;11;False
2022-01-09;21;0;0;19;8;False
2022-01-10;14;0;0;17;15;False
2022-01-11;13;0;0;13;12;False
2022-01-12;62;0;0;17;10;False
2022-01-13;30;0;0;15;15;False
2022-01-14;16;0;0;12;13;False
2022-01-15;19;0;0;13;10;False
2022-01-16;23;0;0;16;11;False
2022-01-17;20;0;0;13;10;False
2022-01-18;13;0;0;14;9;False
2022-01-19;12;0;0;10;11;False
2022-01-20;33;0;0;11;8;False
2022-01-21;15;0;0;15;6;False
2022-01-22;13;0;0;14;8;False
2022-01-23;100;0;0;14;11;False
2022-01-24;32;0;0;15;15;False
2022-01-25;19;0;0;13;8;False
2022-01-26;14;0;0;13;10;False
2022-01-27;17;0;0;14;11;False
2022-01-28;16;0;0;15;8;False
2022-01-29;46;0;0;15;9;False
2022-01-30;22;0;0;13;11;False
2022-01-31;15;0;0;17;13;False
