date;Savings;Savings rates;Mpox;Crimea;air travel;isPartial
2022-01-01;71;5;0;1;5;False
2022-01-02;77;6;0;1;9;False
2022-01-03;77;6;0;1;7;False
2022-01-04;96;8;0;2;7;False
2022-01-05;100;11;1;3;10;False
2022-01-06;88;8;0;2;8;False
2022-01-07;94;12;0;2;9;False
2022-01-08;83;9;1;1;10;False
2022-01-09;75;7;0;1;7;False
2022-01-10;84;4;0;2;13;False
2022-01-11;88;9;0;2;11;False
2022-01-12;75;6;0;2;9;False
2022-01-13;84;10;0;2;14;False
2022-01-14;72;5;0;1;11;False
2022-01-15;70;9;0;3;9;False
2022-01-16;69;5;0;3;10;False
2022-01-17;77;8;0;4;9;False
2022-01-18;85;10;0;4;8;False
2022-01-19;80;10;0;5;10;False
2022-01-20;80;8;0;7;7;False
2022-01-21;77;7;0;10;5;False
2022-01-22;69;5;0;8;7;False
2022-01-23;71;8;0;9;9;False
2022-01-24;92;8;0;21;13;False
2022-01-25;87;10;0;14;7;False
2022-01-26;80;6;1;13;9;False
2022-01-27;82;10;0;9;10;False
2022-01-28;79;10;0;10;7;False
2022-01-29;75;8;1;8;8;False
2022-01-30;64;5;0;7;10;False
2022-01-31;90;10;0;6;11;False
