date;Planning policy;Methamphetamine (crystal meth);Australia weather;Marilyn Monroe;air travel;isPartial
2022-01-01;8;0;35;68;32;False
2022-01-02;0;0;44;83;60;False
2022-01-03;13;0;24;65;49;False
2022-01-04;28;0;60;53;51;False
2022-01-05;16;0;46;60;73;False
2022-01-06;12;0;77;58;58;False
2022-01-07;10;0;70;54;60;False
2022-01-08;0;0;94;64;68;False
2022-01-09;6;0;51;69;52;False
2022-01-10;15;0;40;43;92;False
2022-01-11;13;0;33;54;75;False
2022-01-12;30;0;8;62;64;False
2022-01-13;0;0;40;100;95;False
2022-01-14;18;0;56;55;80;False
2022-01-15;18;0;70;86;63;False
2022-01-16;0;0;45;49;69;False
2022-01-17;19;0;27;72;62;False
2022-01-18;23;0;32;72;56;False
2022-01-19;18;0;31;50;71;False
2022-01-20;19;0;26;61;51;False
2022-01-21;16;0;19;54;36;False
2022-01-22;26;0;38;70;51;False
2022-01-23;0;0;21;74;65;False
2022-01-24;30;0;24;57;92;False
2022-01-25;27;0;34;53;47;False
2022-01-26;26;0;31;54;61;False
2022-01-27;22;0;35;48;68;False
2022-01-28;26;0;18;53;47;False
2022-01-29;6;0;28;57;57;False
2022-01-30;6;0;33;77;68;False
2022-01-31;22;0;26;41;79;False
