date;John Boyega;Michael Martin;1922 Committee;River Plate;air travel;isPartial
2022-01-01;5;22;0;16;25;False
2022-01-02;10;22;0;0;46;False
2022-01-03;5;14;0;6;37;False
2022-01-04;4;21;5;6;39;False
2022-01-05;0;18;5;0;56;False
2022-01-06;4;21;4;7;45;False
2022-01-07;10;14;5;7;46;False
2022-01-08;10;17;3;6;52;False
2022-01-09;3;23;0;8;40;False
2022-01-10;4;25;0;4;71;False
2022-01-11;4;15;21;7;57;False
2022-01-12;0;12;100;4;49;False
2022-01-13;9;12;59;0;73;False
2022-01-14;13;18;25;8;61;False
2022-01-15;0;7;24;8;48;False
2022-01-16;0;16;22;15;53;False
2022-01-17;0;8;10;0;47;False
2022-01-18;7;10;11;0;43;False
2022-01-19;5;14;50;8;54;False
2022-01-20;4;11;13;0;39;False
2022-01-21;7;10;0;34;28;False
2022-01-22;6;15;3;10;39;False
2022-01-23;4;10;9;14;50;False
2022-01-24;0;10;15;14;71;False
2022-01-25;6;15;0;12;36;False
2022-01-26;0;20;6;7;47;False
2022-01-27;0;11;8;9;52;False
2022-01-28;0;9;13;6;36;False
2022-01-29;0;12;7;16;44;False
2022-01-30;6;9;0;10;52;False
2022-01-31;3;17;42;21;60;False
