date;Kwasi Kwarteng;Restaurant Group;Smoking;Davos;air travel;isPartial
2022-01-01;0;1;94;1;5;False
2022-01-02;2;0;100;5;10;False
2022-01-03;0;1;89;0;8;False
2022-01-04;0;4;86;4;8;False
2022-01-05;2;4;95;5;12;False
2022-01-06;0;3;84;2;9;False
2022-01-07;0;2;83;1;10;False
2022-01-08;0;1;94;1;11;False
2022-01-09;1;2;87;2;8;False
2022-01-10;1;3;94;4;15;False
2022-01-11;0;6;90;3;12;False
2022-01-12;2;4;92;4;10;False
2022-01-13;0;3;94;2;15;False
2022-01-14;0;1;81;3;13;False
2022-01-15;2;3;88;3;10;False
2022-01-16;3;2;93;5;11;False
2022-01-17;0;0;88;5;10;False
2022-01-18;0;3;84;3;9;False
2022-01-19;0;1;71;4;11;False
2022-01-20;1;2;85;3;8;False
2022-01-21;6;1;80;4;6;False
2022-01-22;0;2;78;4;8;False
2022-01-23;1;0;78;2;11;False
2022-01-24;1;4;88;3;15;False
2022-01-25;0;3;78;3;8;False
2022-01-26;1;5;80;2;10;False
2022-01-27;0;2;77;3;11;False
2022-01-28;1;3;81;2;8;False
2022-01-29;0;2;75;2;9;False
2022-01-30;0;1;72;3;11;False
2022-01-31;1;3;85;2;13;False
