date;Jamaica;Antigua and Barbuda;DC Comics;TV crime drama;air travel;isPartial
2022-01-01;78;2;4;2;6;False
2022-01-02;90;1;6;1;11;False
2022-01-03;82;3;4;0;9;False
2022-01-04;80;1;4;2;9;False
2022-01-05;93;0;4;1;14;False
2022-01-06;81;5;3;1;11;False
2022-01-07;81;3;4;4;11;False
2022-01-08;96;1;5;0;13;False
2022-01-09;92;0;4;0;10;False
2022-01-10;84;0;3;2;17;False
2022-01-11;76;0;4;0;14;False
2022-01-12;73;0;2;0;12;False
2022-01-13;87;0;4;0;18;False
2022-01-14;77;2;5;1;15;False
2022-01-15;96;1;7;0;12;False
2022-01-16;91;0;8;1;13;False
2022-01-17;96;1;3;1;11;False
2022-01-18;79;0;3;0;10;False
2022-01-19;74;1;4;0;13;False
2022-01-20;72;3;4;1;9;False
2022-01-21;85;2;7;1;7;False
2022-01-22;81;2;6;0;9;False
2022-01-23;90;2;4;1;12;False
2022-01-24;100;2;7;1;17;False
2022-01-25;86;1;4;0;9;False
2022-01-26;82;0;4;0;11;False
2022-01-27;74;1;3;0;13;False
2022-01-28;85;1;4;0;9;False
2022-01-29;79;2;3;0;11;False
2022-01-30;86;1;5;1;13;False
2022-01-31;83;0;4;0;15;False
