date;Barbados;Liberia;Ellen Johnson Sirleaf;Mia Mottley;air travel;isPartial
2022-01-01;74;1;0;1;5;False
2022-01-02;76;1;0;0;9;False
2022-01-03;70;2;1;0;7;False
2022-01-04;68;2;0;0;7;False
2022-01-05;79;3;0;0;10;False
2022-01-06;70;2;0;0;8;False
2022-01-07;73;2;0;1;9;False
2022-01-08;84;1;0;0;10;False
2022-01-09;91;2;0;0;7;False
2022-01-10;78;3;0;0;13;False
2022-01-11;66;2;0;1;11;False
2022-01-12;67;1;0;0;9;False
2022-01-13;77;2;0;2;14;False
2022-01-14;64;2;0;0;11;False
2022-01-15;76;3;0;0;9;False
2022-01-16;90;2;0;0;10;False
2022-01-17;71;1;3;0;9;False
2022-01-18;67;2;0;1;8;False
2022-01-19;72;1;0;0;10;False
2022-01-20;74;5;0;0;7;False
2022-01-21;70;2;0;0;5;False
2022-01-22;82;2;2;0;7;False
2022-01-23;100;2;0;0;9;False
2022-01-24;79;5;1;0;13;False
2022-01-25;64;2;0;0;7;False
2022-01-26;76;1;0;0;9;False
2022-01-27;55;2;0;0;10;False
2022-01-28;58;2;0;0;7;False
2022-01-29;67;1;1;0;8;False
2022-01-30;93;3;0;0;10;False
2022-01-31;66;4;0;1;11;False
