date;John F Kennedy;Richard Nixon;Ronald Reagan;Barack Obama;air travel;isPartial
2022-01-01;19;0;19;16;34;False
2022-01-02;18;8;16;30;63;False
2022-01-03;10;11;13;30;51;False
2022-01-04;29;8;12;19;54;False
2022-01-05;8;8;11;26;77;False
2022-01-06;9;5;11;14;61;False
2022-01-07;5;6;11;20;63;False
2022-01-08;8;22;9;25;71;False
2022-01-09;6;20;6;19;55;False
2022-01-10;9;4;0;29;97;False
2022-01-11;13;0;23;31;79;False
2022-01-12;18;0;12;27;67;False
2022-01-13;10;11;8;8;100;False
2022-01-14;14;0;13;10;84;False
2022-01-15;22;8;13;28;66;False
2022-01-16;0;10;0;35;72;False
2022-01-17;13;6;12;22;65;False
2022-01-18;17;13;20;19;59;False
2022-01-19;10;8;20;22;74;False
2022-01-20;11;11;17;17;54;False
2022-01-21;42;0;11;16;38;False
2022-01-22;9;11;15;20;53;False
2022-01-23;17;14;20;8;69;False
2022-01-24;12;0;15;20;97;False
2022-01-25;15;6;13;25;49;False
2022-01-26;12;0;15;32;64;False
2022-01-27;8;0;8;19;71;False
2022-01-28;13;0;12;14;49;False
2022-01-29;0;19;10;17;60;False
2022-01-30;16;11;6;25;71;False
2022-01-31;0;0;5;21;82;False
