date;Payday loans;Murray-Darling Basin;Sugar;The Best Fifa Football Awards;air travel;isPartial
2022-01-01;2;0;71;0;2;False
2022-01-02;2;0;76;0;3;False
2022-01-03;4;0;76;0;3;False
2022-01-04;4;0;73;0;3;False
2022-01-05;4;0;92;0;4;False
2022-01-06;3;0;94;0;3;False
2022-01-07;3;0;83;0;3;False
2022-01-08;4;0;96;0;4;False
2022-01-09;2;0;88;0;3;False
2022-01-10;4;0;84;0;5;False
2022-01-11;3;0;78;0;4;False
2022-01-12;3;0;79;0;4;False
2022-01-13;4;0;95;0;5;False
2022-01-14;5;0;80;0;5;False
2022-01-15;4;0;100;0;4;False
2022-01-16;3;0;94;0;4;False
2022-01-17;4;0;77;0;4;False
2022-01-18;2;0;72;0;3;False
2022-01-19;3;0;69;0;4;False
2022-01-20;3;0;84;0;3;False
2022-01-21;3;0;76;1;2;False
2022-01-22;3;0;88;0;3;False
2022-01-23;3;0;85;0;4;False
2022-01-24;3;0;86;0;5;False
2022-01-25;2;0;81;0;3;False
2022-01-26;3;0;76;0;4;False
2022-01-27;2;0;83;0;4;False
2022-01-28;3;0;83;0;3;False
2022-01-29;4;0;95;0;3;False
2022-01-30;3;0;86;0;4;False
2022-01-31;3;0;81;0;5;False
