date;Dallas Cowboys;TS Eliot prize for poetry;John Berger;Magic;air travel;isPartial
2022-01-01;2;0;0;84;2;False
2022-01-02;4;0;0;94;4;False
2022-01-03;4;0;0;80;3;False
2022-01-04;1;0;0;82;3;False
2022-01-05;1;0;1;79;5;False
2022-01-06;1;0;1;77;4;False
2022-01-07;1;0;0;87;4;False
2022-01-08;2;0;0;90;4;False
2022-01-09;6;0;1;92;3;False
2022-01-10;2;0;1;87;6;False
2022-01-11;1;0;1;78;5;False
2022-01-12;1;0;0;82;4;False
2022-01-13;2;0;1;88;6;False
2022-01-14;1;0;0;82;5;False
2022-01-15;2;0;1;100;4;False
2022-01-16;14;0;0;94;4;False
2022-01-17;9;0;0;84;4;False
2022-01-18;1;0;0;78;4;False
2022-01-19;2;0;0;74;5;False
2022-01-20;1;0;0;74;3;False
2022-01-21;1;0;1;77;2;False
2022-01-22;1;0;0;89;3;False
2022-01-23;1;0;0;87;4;False
2022-01-24;2;0;0;89;6;False
2022-01-25;2;0;0;73;3;False
2022-01-26;1;0;0;74;4;False
2022-01-27;1;0;0;77;4;False
2022-01-28;1;0;0;88;3;False
2022-01-29;1;0;0;95;4;False
2022-01-30;1;0;0;86;4;False
2022-01-31;1;0;0;84;5;False
