date;The Weeknd;Literary criticism;Anthropology;Covid inquiry;air travel;isPartial
2022-01-01;15;0;3;0;7;False
2022-01-02;14;0;9;2;13;False
2022-01-03;17;2;7;0;10;False
2022-01-04;18;0;13;0;11;False
2022-01-05;22;0;10;0;16;False
2022-01-06;22;0;8;0;12;False
2022-01-07;100;0;8;0;13;False
2022-01-08;72;0;7;3;14;False
2022-01-09;53;0;12;3;11;False
2022-01-10;34;0;13;0;20;False
2022-01-11;33;1;12;4;16;False
2022-01-12;32;0;9;0;14;False
2022-01-13;26;0;6;0;20;False
2022-01-14;28;1;9;0;17;False
2022-01-15;34;0;14;0;13;False
2022-01-16;26;1;10;0;15;False
2022-01-17;17;0;11;0;13;False
2022-01-18;17;0;10;1;12;False
2022-01-19;20;1;11;0;15;False
2022-01-20;17;0;9;1;11;False
2022-01-21;18;0;10;0;8;False
2022-01-22;24;2;5;2;11;False
2022-01-23;19;0;9;0;14;False
2022-01-24;15;0;14;0;20;False
2022-01-25;14;0;9;0;10;False
2022-01-26;17;0;11;2;13;False
2022-01-27;12;0;9;2;15;False
2022-01-28;14;1;7;1;10;False
2022-01-29;21;0;8;0;12;False
2022-01-30;16;0;8;0;14;False
2022-01-31;10;0;10;0;17;False
