date;Rachael Stirling;University of Cambridge;JM Barrie;Leeds Playhouse;air travel;isPartial
2022-01-01;0;10;0;5;34;False
2022-01-02;0;6;9;9;63;False
2022-01-03;0;21;6;12;51;False
2022-01-04;9;37;0;8;54;False
2022-01-05;0;36;0;14;77;False
2022-01-06;6;24;0;0;61;False
2022-01-07;7;50;0;5;63;False
2022-01-08;0;18;7;5;71;False
2022-01-09;5;17;0;16;55;False
2022-01-10;0;45;0;7;97;False
2022-01-11;17;30;0;15;79;False
2022-01-12;0;47;0;5;67;False
2022-01-13;0;25;19;12;100;False
2022-01-14;6;27;10;13;84;False
2022-01-15;0;25;0;5;66;False
2022-01-16;70;30;0;14;72;False
2022-01-17;14;39;0;9;65;False
2022-01-18;5;46;0;7;59;False
2022-01-19;8;45;0;18;74;False
2022-01-20;4;46;0;23;54;False
2022-01-21;6;27;0;14;38;False
2022-01-22;0;0;0;0;53;False
2022-01-23;0;31;0;0;69;False
2022-01-24;8;45;7;8;97;False
2022-01-25;5;49;0;10;49;False
2022-01-26;28;42;0;5;64;False
2022-01-27;8;31;0;0;71;False
2022-01-28;0;30;5;5;49;False
2022-01-29;10;17;0;15;60;False
2022-01-30;0;47;16;12;71;False
2022-01-31;9;34;10;0;82;False
