date;Barclays;Andrea Arnold;Kristen Stewart;Golden Globes 2022;air travel;isPartial
2022-01-01;46;0;2;0;1;False
2022-01-02;54;0;2;0;2;False
2022-01-03;64;0;2;0;2;False
2022-01-04;100;0;1;2;2;False
2022-01-05;91;0;1;1;3;False
2022-01-06;87;1;1;0;2;False
2022-01-07;92;0;2;0;2;False
2022-01-08;69;0;2;1;3;False
2022-01-09;51;0;2;3;2;False
2022-01-10;96;0;2;23;4;False
2022-01-11;83;0;2;5;3;False
2022-01-12;86;0;2;1;3;False
2022-01-13;92;0;1;1;4;False
2022-01-14;83;1;1;1;3;False
2022-01-15;66;0;1;2;3;False
2022-01-16;56;0;1;1;3;False
2022-01-17;90;0;1;0;3;False
2022-01-18;79;0;1;0;2;False
2022-01-19;77;0;1;1;3;False
2022-01-20;80;0;2;0;2;False
2022-01-21;80;1;2;0;1;False
2022-01-22;65;0;2;0;2;False
2022-01-23;49;0;2;0;3;False
2022-01-24;96;0;2;0;4;False
2022-01-25;76;0;2;0;2;False
2022-01-26;80;0;2;0;3;False
2022-01-27;81;0;1;0;3;False
2022-01-28;90;0;2;0;2;False
2022-01-29;63;1;2;0;2;False
2022-01-30;54;0;2;0;3;False
2022-01-31;97;0;1;0;3;False
