date;Stirling;Cambridge United;FA Cup;Rory Kinnear;air travel;isPartial
2022-01-01;3;0;2;0;0;False
2022-01-02;3;0;2;0;0;False
2022-01-03;3;1;3;0;0;False
2022-01-04;3;0;3;0;0;False
2022-01-05;3;0;4;0;0;False
2022-01-06;3;0;4;0;0;False
2022-01-07;3;0;15;0;0;False
2022-01-08;3;7;64;0;0;False
2022-01-09;2;2;100;0;0;False
2022-01-10;3;1;34;0;1;False
2022-01-11;3;1;8;0;0;False
2022-01-12;3;0;4;0;0;False
2022-01-13;3;0;5;1;1;False
2022-01-14;3;0;3;0;0;False
2022-01-15;3;1;3;0;0;False
2022-01-16;3;0;2;0;0;False
2022-01-17;3;0;2;0;0;False
2022-01-18;3;1;2;0;0;False
2022-01-19;3;0;2;0;0;False
2022-01-20;3;0;3;0;0;False
2022-01-21;6;0;2;0;0;False
2022-01-22;3;1;2;0;0;False
2022-01-23;2;0;2;0;0;False
2022-01-24;4;0;2;0;1;False
2022-01-25;3;0;2;0;0;False
2022-01-26;3;0;2;0;0;False
2022-01-27;3;0;2;0;0;False
2022-01-28;3;0;2;0;0;False
2022-01-29;3;1;4;0;0;False
2022-01-30;3;0;3;0;0;False
2022-01-31;3;0;2;0;0;False
