date;Justin Welby;Frederick Douglass;American civil war;Gary Neville;air travel;isPartial
2022-01-01;6;0;7;18;12;False
2022-01-02;7;0;7;31;23;False
2022-01-03;2;2;2;26;19;False
2022-01-04;2;6;13;9;20;False
2022-01-05;0;4;12;11;28;False
2022-01-06;3;0;12;12;22;False
2022-01-07;0;0;6;16;23;False
2022-01-08;10;0;19;14;26;False
2022-01-09;0;2;9;11;20;False
2022-01-10;3;0;9;8;36;False
2022-01-11;2;4;7;13;29;False
2022-01-12;0;4;9;12;25;False
2022-01-13;2;0;6;8;37;False
2022-01-14;0;2;10;84;31;False
2022-01-15;0;0;9;100;24;False
2022-01-16;0;0;9;38;26;False
2022-01-17;8;0;9;25;24;False
2022-01-18;0;4;7;15;22;False
2022-01-19;0;0;4;14;27;False
2022-01-20;0;2;9;12;20;False
2022-01-21;0;6;6;16;14;False
2022-01-22;0;0;6;18;20;False
2022-01-23;0;3;8;15;25;False
2022-01-24;2;0;4;15;36;False
2022-01-25;0;3;8;18;18;False
2022-01-26;0;0;11;7;23;False
2022-01-27;0;0;6;14;26;False
2022-01-28;0;2;7;15;18;False
2022-01-29;0;3;9;14;22;False
2022-01-30;0;0;9;26;26;False
2022-01-31;2;3;5;17;30;False
